,zh,zhcn,ja,en
,,,,
//遊戲規則,,,,
MsgPw0Difficulty0,瞧俺老蔡个不留神，就有别的作品混入这幅画了，请把不属于这幅画的物件拿掉，还原这个画作的原样吧！,瞧俺老蔡个不留神，就有别的作品混入这幅画了，请把不属于这幅画的物件拿掉，还原这个画作的原样吧！,瞧俺老蔡个不留神，就有别的作品混入这幅画了，请把不属于这幅画的物件拿掉，还原这个画作的原样吧！,瞧俺老蔡个不留神，就有别的作品混入这幅画了，请把不属于这幅画的物件拿掉，还原这个画作的原样吧！
MsgPw0Difficulty1,我刚才运用法力，将顽皮的马儿们捉回宝盒里了，可以拜托你领它们回原位吗？,我刚才运用法力，将顽皮的马儿们捉回宝盒里了，可以拜托你领它们回原位吗？,我刚才运用法力，将顽皮的马儿们捉回宝盒里了，可以拜托你领它们回原位吗？,我刚才运用法力，将顽皮的马儿们捉回宝盒里了，可以拜托你领它们回原位吗？
MsgPw0Difficulty2,刚把马儿捉回宝盒，又有来自别处的物件混入这幅画了，这下可真伤脑筋-_-。,刚把马儿捉回宝盒，又有来自别处的物件混入这幅画了，这下可真伤脑筋-_-。,刚把马儿捉回宝盒，又有来自别处的物件混入这幅画了，这下可真伤脑筋-_-。,刚把马儿捉回宝盒，又有来自别处的物件混入这幅画了，这下可真伤脑筋-_-。
MsgPw0Difficulty3,幸好你来了！现在整幅画一片混乱，连原本乖顺的马儿都开始四处蹓跶，我蔡先生已经手足无措了......,幸好你来了！现在整幅画一片混乱，连原本乖顺的马儿都开始四处蹓跶，我蔡先生已经手足无措了......,幸好你来了！现在整幅画一片混乱，连原本乖顺的马儿都开始四处蹓跶，我蔡先生已经手足无措了......,幸好你来了！现在整幅画一片混乱，连原本乖顺的马儿都开始四处蹓跶，我蔡先生已经手足无措了......
,,,,
MsgPw1Difficulty0,瞧俺一个不留神，就有奇怪的物件混入这幅画了，请把不属于这幅画的东西拿掉，还原它原本的样貌吧！,瞧俺一个不留神，就有奇怪的物件混入这幅画了，请把不属于这幅画的东西拿掉，还原它原本的样貌吧！,瞧俺一个不留神，就有奇怪的物件混入这幅画了，请把不属于这幅画的东西拿掉，还原它原本的样貌吧！,瞧俺一个不留神，就有奇怪的物件混入这幅画了，请把不属于这幅画的东西拿掉，还原它原本的样貌吧！
MsgPw1Difficulty1,我老蔡施展神通，已将移失的物件收回宝盒里，可以拜托你把它们搬回原位吗？,我老蔡施展神通，已将移失的物件收回宝盒里，可以拜托你把它们搬回原位吗？,我老蔡施展神通，已将移失的物件收回宝盒里，可以拜托你把它们搬回原位吗？,我老蔡施展神通，已将移失的物件收回宝盒里，可以拜托你把它们搬回原位吗？
MsgPw1Difficulty2,刚把几只羊儿收回宝盒，又有来自别处的物件混入这幅画，这一来，老夫可真记不得了......。,刚把几只羊儿收回宝盒，又有来自别处的物件混入这幅画，这一来，老夫可真记不得了......。,刚把几只羊儿收回宝盒，又有来自别处的物件混入这幅画，这一来，老夫可真记不得了......。,刚把几只羊儿收回宝盒，又有来自别处的物件混入这幅画，这一来，老夫可真记不得了......。
MsgPw1Difficulty3,不知是哪阵狂风把这画作扫得一团乱.....若能协助清理归位，我老蔡必当答谢！,不知是哪阵狂风把这画作扫得一团乱.....若能协助清理归位，我老蔡必当答谢！,不知是哪阵狂风把这画作扫得一团乱.....若能协助清理归位，我老蔡必当答谢！,不知是哪阵狂风把这画作扫得一团乱.....若能协助清理归位，我老蔡必当答谢！
,,,,
ResultDifficulty0,你顺利完成了这次的试炼。如你这般有为的人才，十年难得一见！,你顺利完成了这次的试炼。如你这般有为的人才，十年难得一见！,你顺利完成了这次的试炼。如你这般有为的人才，十年难得一见！,你顺利完成了这次的试炼。如你这般有为的人才，十年难得一见！
ResultDifficulty1,你顺利通过了这次的挑战。如你这般优秀的逸才，百年难得一见！,你顺利通过了这次的挑战。如你这般优秀的逸才，百年难得一见！,你顺利通过了这次的挑战。如你这般优秀的逸才，百年难得一见！,你顺利通过了这次的挑战。如你这般优秀的逸才，百年难得一见！
ResultDifficulty2,你顺利解决了这次的难题。如你这般颖异的天才，千年难得一见！,你顺利解决了这次的难题。如你这般颖异的天才，千年难得一见！,你顺利解决了这次的难题。如你这般颖异的天才，千年难得一见！,你顺利解决了这次的难题。如你这般颖异的天才，千年难得一见！
ResultDifficulty3,你漂亮收拾了这次的残局。我也该让贤了，你才是真正的画神！,你漂亮收拾了这次的残局。我也该让贤了，你才是真正的画神！,你漂亮收拾了这次的残局。我也该让贤了，你才是真正的画神！,你漂亮收拾了这次的残局。我也该让贤了，你才是真正的画神！
,,,,
ResultQuizCorrect0,年轻人别气馁！多宝格里有许多名画和藏书，请详加阅览，开卷有益！,年轻人别气馁！多宝格里有许多名画和藏书，请详加阅览，开卷有益！,年轻人别气馁！多宝格里有许多名画和藏书，请详加阅览，开卷有益！,年轻人别气馁！多宝格里有许多名画和藏书，请详加阅览，开卷有益！
ResultQuizCorrect1,知之为知之，不知为不知，是知也！最难得的是勤能补拙，再接再励！,知之为知之，不知为不知，是知也！最难得的是勤能补拙，再接再励！,知之为知之，不知为不知，是知也！最难得的是勤能补拙，再接再励！,知之为知之，不知为不知，是知也！最难得的是勤能补拙，再接再励！
ResultQuizCorrect2,书到用时方恨少，事非经过不知难，书山有路勤为径，学海无涯苦作舟！,书到用时方恨少，事非经过不知难，书山有路勤为径，学海无涯苦作舟！,书到用时方恨少，事非经过不知难，书山有路勤为径，学海无涯苦作舟！,书到用时方恨少，事非经过不知难，书山有路勤为径，学海无涯苦作舟！
ResultQuizCorrect3,士別三日，刮目相看！阁下已经能掌握国学之知识窍理，假以时日，前途无量啊…,士別三日，刮目相看！阁下已经能掌握国学之知识窍理，假以时日，前途无量啊…,士別三日，刮目相看！阁下已经能掌握国学之知识窍理，假以时日，前途无量啊…,士別三日，刮目相看！阁下已经能掌握国学之知识窍理，假以时日，前途无量啊…
ResultQuizCorrect4,学而时习之，不亦悦乎？温故而知新，可以为师矣！,学而时习之，不亦悦乎？温故而知新，可以为师矣！,学而时习之，不亦悦乎？温故而知新，可以为师矣！,学而时习之，不亦悦乎？温故而知新，可以为师矣！
ResultQuizCorrect5,欲穷千里目，更上一层楼！吾见其进也，未见其止也！,欲穷千里目，更上一层楼！吾见其进也，未见其止也！,欲穷千里目，更上一层楼！吾见其进也，未见其止也！,欲穷千里目，更上一层楼！吾见其进也，未见其止也！
,,,,
ResultLose,请仔细记忆画作内容，再接再厉再挑战！,请仔细记忆画作内容，再接再厉再挑战！,请仔细记忆画作内容，再接再厉再挑战！,请仔细记忆画作内容，再接再厉再挑战！
