,Q,A,A1,A2,A3,Hint0,Hint1,Why
11,在康雍干三代的禁教政策下，传教士郎世宁反而极受礼遇的原因是？,他是宫廷画师,他是宫廷传教士,他是宫廷太监,他是宫廷乐师,,,郎世宁虽然最初以传教士的身份来中国，但在康熙、雍正、乾隆三代对基督宗教的压制中，他并没有因此被逐出紫禁城，反而极受礼遇，有很大一部分的原因是他在清朝宫中拥有宫廷画师的职位，尽管他本人始终不曾忘记传教的想法，然而在禁教政策之下，凡是有任何企图传教的举止，都会被禁止，使得他终生未能实现传教的愿望。
12,一种以胶为媒介混合天然矿物，与水调和后，用画笔在纸、绢、麻或木板上的一种作画型式称做？,胶彩画,油画,水彩画,粉彩画,,,油画指用干的油调配的颜料所作的绘画，水彩则是用水调和透明颜料作画的一种绘画方法。
13,画面中可以有许多分段焦点，因此可以画非常长的长卷或立轴，视域无限扩大的是何种透视技法？,散点透视,交点透视,空气透视,折线透视,,,一个画面中可以有许多焦点，如同一边走一边看，每一段可以有一个焦点，因此可以画非常长的长卷或立轴，视域范围无限扩大的是散点透视技法。
14,以景物中的左右上下边线与假设延长线，相交于画面深处消失的一点，营造出景观深入的感觉称做？,交点透视,空气透视,散点透视,折线透视,,,以景物中的天花板、墙角、地砖、壁柱联机、桌椅左右边线、窗框上下边线或斜角阴影边线等的假设延长线，相交于画面深处消失的一点，营造出景观深入的感觉称做交点透视。
15,又称作重彩画、岩彩画、日本画、东洋画，是一种以胶为素材媒介的作画型式称做？,胶彩画,油画,水彩画,粉彩画,,,油画指用干的油调配的颜料所作的绘画，水彩则是用水调和透明颜料作画的一种绘画方法。
16,以明暗的相异性质彼此邻接，能发挥各自的特性而成为对照状态，利用这种性质来设计的技法就叫？,明暗法,黑白法,光影法,对照法,,,明暗是相异性质地呈现在人的视觉里，其邻接的地方能互相发挥各自的特性而成为对照的状态，利用这种特性与状态来设计并制作的技法就叫「明暗法」。
17,郎世宁的作品中，下列何者并没有出现马？,花底仙尨图,八骏图,乾隆大阅图,八骏图,,,花底仙尨图画的是一只小狗。八骏图与乾隆大阅图中均可见到英姿生动的骏马。
18,在八骏图中，出现了几匹马？,八匹,九匹,十匹,七匹,,,八骏图中总共出现八匹马，不是九匹也不是十匹，更不是五十只马。
19,在画开泰图中，其中一头羔羊跪乳，象征着甚么？,哺乳孝礼,三阳开泰,羊年行大运,扬扬得意,,,中国自古以羔羊跪乳为子女尽孝的象征之一。
20,在雍正朝，郎世宁帮助了年希尧出版了哪一本着作？,视学,本草纲目,圣经,国朝院画录,,,年希尧为雍正时川陜总督年羹尧与皇贵妃年世兰之兄长。在西方传教士、著名宫廷画家郎世宁的协助下，着有《视学》一书，介绍西方透视学。
21,郎世宁在中国停留长达五十一年，并没有经历过哪位皇帝的统治？,嘉庆,雍正,乾隆,康熙,,,郎世宁在康熙五十四年来到中国，在乾隆三十一年过世，因此并未经历过嘉庆的年号。
22,郎世宁曾多次陪同乾隆出巡，出席重大场合，创作了一批极具历史价值的艺术珍品，代表作如？,乾隆大阅图,百骏图,聚端图,牡丹图,,,百骏图为郎世宁刚进入清宫时的巨幅作品，而聚端图则是郎世宁在雍正年进献给皇帝的图。
23,郎世宁参与过下列哪一建筑物的设计？,圆明园,紫禁城,万里长城,天坛,,,雍正帝下令扩建圆明园，郎世宁参与圆明园的规划设计，负责绘制园林建设的蓝图，也画出不少装饰殿堂的作品。
24,郎世宁来华五十一年间，最受到哪位皇帝荣宠？,乾隆,康熙,雍正,顺治,,,乾隆二十三年（1758年），乾隆帝曾为郎世宁举办七十岁大寿，证明他在宫中颇受礼遇及恩宠。
25,三个字、跟马有关、郎世宁画的、在一棵树下？,八骏图,百骏图,十骏马图册,乾隆大阅图,,,八骏图中八匹骏马围绕一棵树或站或卧，雍容优雅的姿态工巧生动。
26,郎世宁的哪一幅画作，以瓶内植插罕见并蒂连理的牡丹，象征祥瑞吉兆，平安富贵之意？,画瓶花,聚瑞图,牡丹图,花开并蒂图,,,郎世宁的画瓶花，以色彩深浅来表现层次感，叶面正反向背，叶脉勾勒写实，极富立体感。青花牵牛花纹折方瓶，两侧贴饰龙首双耳，以高光强调瓷器晶莹圆润的质感，敷色极具光影效果。瓶内植插罕见并蒂连理的牡丹，象征祥瑞吉兆，平安富贵之意。
27,下列哪一幅是郎世宁作品中有最多匹马的画作？,百骏图,八骏图,十骏马图册,万马奔腾图,,,百骏图是郎世宁画作中有最多匹马的巨幅作品。
28,郎世宁在公元1715年到中国，并受到当时的皇帝召见进宫中。请问是哪一位皇帝召见他？,康熙,顺治,雍正,乾隆,,,公元1715年是康熙五十四年，故郎世宁来到中国时是由康熙召见。
29,郎世宁的哪一幅画作，瓶中插着并蒂莲花、莲蓬、与结了双穗的稻穗？,聚瑞图,画瓶花,牡丹图,莲穗图,,,雍正三年郎世宁献给雍正皇帝生日所画的聚瑞图，描绘一只汝窑青瓷弦纹瓶，瓶中插着并蒂莲花、莲蓬、与结了双穗的稻穗，象征着聚集各种吉祥。
